Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000Am5T7U69H30CGUYwoj,17/09/2024,07:23:29,Card payment,Jolene Hornsey Roa,🍞,Groceries,-15.20,GBP,-15.20,GBP,,60 Durham Road,,SQ *JOLENE HORNSEY ROA London        GBR,,-15.20,
tx_0000Am5psuHrv4LsOTtdkf,17/09/2024,11:38:34,Card payment,J And R Kiosk,🍎,Groceries,-1.30,GBP,-1.30,GBP,,"1 Booking Office, Chancery Lane",,J and R Kiosk          London        GBR,,-1.30,
tx_0000Am5sR06mywj9EgO1Cs,17/09/2024,12:07:08,Card payment,Transport for London,🚆,Transport,-10.70,GBP,-10.70,GBP,"Travel charge for Monday, 16 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-10.70,
tx_0000Am7vQR6tnEC6bHry7P,18/09/2024,11:50:04,Card payment,Transport for London,🚆,Transport,-3.70,GBP,-3.70,GBP,"Travel charge for Tuesday, 17 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.70,
tx_0000Am8cfxIggn2X69K5th,18/09/2024,19:54:41,Card payment,Pret,☕,Eating out,-13.50,GBP,-13.50,GBP,,81 Piccadilly,,PRET A MANGER          LONDON        GBR,,-13.50,
tx_0000Am98q8G9zkLdFco3iT,19/09/2024,01:55:05,Card payment,Transport for London,🚆,Transport,-3.00,GBP,-3.00,GBP,"Travel charge for Wednesday, 18 Sep","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-3.00,
tx_0000Am9zeEwQcbkUIvQuTR,19/09/2024,11:46:48,Card payment,Transport for London,🚆,Transport,-3.00,GBP,-3.00,GBP,"Travel charge for Wednesday, 18 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.00,
tx_0000AmARK8nIZ5Rl76FIpN,19/09/2024,16:56:55,Card payment,M&S,🛍 ,Eating out,-4.50,GBP,-4.50,GBP,,Heron House 323-324 High Holborn,,MARKS&SPENCER PLC SF   CHANCERY LANE GBR,,-4.50,
tx_0000AmARsaXBvxjizh8bGz,19/09/2024,17:03:08,Card payment,M&S,🛍 ,Eating out,-2.20,GBP,-2.20,GBP,,Heron House 323-324 High Holborn,,MARKS&SPENCER PLC SF   CHANCERY LANE GBR,,-2.20,
tx_0000AmBk2wuHbJltFb7WCY,20/09/2024,08:01:25,Card payment,Lime Ride X23q,🚗,Transport,-1.16,GBP,-1.16,GBP,,Hays Galleria 1 Hays Lane,,LIME*RIDE X23Q         +448008085223 GBR,,-1.16,
tx_0000AmC3F3LpMiLAP6nZFT,20/09/2024,11:36:30,Card payment,Transport for London,🚆,Transport,-6.70,GBP,-6.70,GBP,"Travel charge for Thursday, 19 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-6.70,
tx_0000AmC3phAin16Kn0Kck7,20/09/2024,11:43:07,Card payment,Transport for London,🚆,Transport,-3.00,GBP,-3.00,GBP,"Travel charge for Thursday, 19 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.00,
